,imgname,id,name,rarity,cardmarket.prices.averageSellPrice,art.style,edges,corners,surface,centering,recent.sale.price,sold.at
238,2022-05-10 14.23.55.jpg,swsh8-238,Schoolboy,Uncommon,0.04,no,9,9.5,8.5,8.5,0.04,Ebay
239,2022-05-10 14.24.00.jpg,swsh8-59,Azumarill,Rare,0.13,no,8.5,9.5,9,8.5,0.13,Ebay
241,2022-05-10 14.24.15.jpg,swsh8-212,Buneary,Common,0.04,no,9,8,9,9.5,0.04,Ebay
242,2022-05-10 14.24.21.jpg,swsh8-152,Clobbopus,Common,0.04,no,8,8.5,8.5,9,0.04,Ebay
243,2022-05-10 14.24.29.jpg,swsh8-241,Sidney,Uncommon,0.06,reverse.holo,8,8,9.5,8,0.06,Ebay
244,2022-05-10 14.24.34.jpg,swsh8-204,Kangaskhan,Rare,0.13,no,8,8.5,9,8.5,0.13,Ebay
245,2022-05-10 14.24.40.jpg,swsh8-106,Toxel,Common,0.04,no,8.5,8.5,9,9,0.04,Ebay
246,2022-05-10 14.24.46.jpg,swsh8-242,Skaters' Park,Uncommon,0.05,no,8.5,9.5,8,9,0.05,Ebay
247,2022-05-10 14.24.52.jpg,swsh8-229,Cram-o-matic,Uncommon,0.2,no,9.5,8,8.5,9.5,0.2,Ebay
248,2022-05-10 14.24.58.jpg,swsh8-10,Swadloon,Uncommon,0.06,no,9,8.5,8.5,8.5,0.06,Ebay
250,2022-05-10 14.25.15.jpg,swsh8-195,Goomy,Common,0.04,no,9.5,9,8.5,8,0.04,Ebay
251,2022-05-10 14.25.22.jpg,swsh8-82,Arrokuda,Common,0.04,no,9.5,8,9.5,8.5,0.04,Ebay
252,2022-05-10 14.25.29.jpg,swsh8-115,Snubbull,Common,0.04,no,8,9,9,9,0.04,Ebay
253,2022-05-10 14.25.35.jpg,swsh8-135,Geodude,Common,0.05,no,9,8,9,8,0.05,Ebay
254,2022-05-10 14.25.42.jpg,swsh8-155,Falinks,Common,0.04,reverse.holo,9,8,9,9,0.04,Ebay
255,2022-05-10 14.25.48.jpg,swsh8-48,Centiskorch,Rare,0.13,no,8,8.5,8.5,8,0.13,Ebay
257,2022-05-10 14.26.00.jpg,swsh8-134,Primeape,Uncommon,0.04,no,9.5,8.5,8.5,8.5,0.04,Ebay
258,2022-05-10 14.26.07.jpg,swsh8-27,Zarude,Uncommon,0.07,no,9,9.5,9.5,8.5,0.07,Ebay
259,2022-05-10 14.26.13.jpg,swsh8-211,Delcatty,Uncommon,0.06,no,8.5,8.5,8.5,8,0.06,Ebay
261,2022-05-10 14.26.29.jpg,swsh8-220,Corvisquire,Uncommon,0.05,no,9,9,9,9,0.05,Ebay
262,2022-05-10 14.26.35.jpg,swsh8-10,Swadloon,Uncommon,0.06,no,9,8.5,9,9.5,0.06,Ebay
263,2022-05-10 14.26.42.jpg,swsh8-125,Sandygast,Common,0.05,no,9,9,8.5,8,0.05,Ebay
264,2022-05-10 14.26.49.jpg,swsh8-89,Plusle,Common,0.04,no,9,9.5,8.5,8,0.04,Ebay
265,2022-05-10 14.26.55.jpg,swsh8-29,Vulpix,Common,0.05,no,8,9.5,8,9,0.05,Ebay
266,2022-05-10 14.27.02.jpg,swsh8-188,Meltan,Common,0.05,no,9,9.5,8.5,9,0.05,Ebay
267,2022-05-10 14.27.08.jpg,swsh8-105,Toxel,Common,0.04,no,9.5,9.5,9,8,0.04,Ebay
268,2022-05-10 14.27.15.jpg,swsh8-16,Phantump,Common,0.04,reverse.holo,9,9,8.5,8.5,0.04,Ebay
270,2022-05-10 14.27.28.jpg,swsh8-233,Elesa's Sparkle,Uncommon,0.12,no,9,9,9.5,9,0.12,Ebay
271,2022-05-10 14.27.34.jpg,swsh8-46,Sizzlipede,Common,0.05,no,9.5,9.5,8.5,8.5,0.05,Ebay
272,2022-05-10 14.27.41.jpg,swsh8-186,Klefki,Common,0.04,no,9.5,9.5,8.5,8.5,0.04,Ebay
273,2022-05-10 14.27.49.jpg,swsh8-7,Pansage,Common,0.04,no,8.5,9,9,9,0.04,Ebay
274,2022-05-10 14.27.56.jpg,swsh8-222,Wooloo,Common,0.06,no,8.5,9.5,9,8,0.06,Ebay
275,2022-05-10 14.28.02.jpg,swsh8-149,Pancham,Common,0.04,no,9,8,9,9,0.04,Ebay
276,2022-05-10 14.28.10.jpg,swsh8-243,Spongy Gloves,Uncommon,0.04,reverse.holo,9,9.5,9,8,0.04,Ebay
277,2022-05-10 14.28.16.jpg,swsh8-101,Vikavolt,Rare,0.13,no,9,8.5,8,9,0.13,Ebay
278,2022-05-10 14.28.23.jpg,swsh8-15,Virizion,Rare,0.15,reverse.holo,9.5,9.5,8.5,8.5,0.15,Ebay
279,2022-05-10 14.28.30.jpg,swsh8-97,Eelektross,Rare,0.15,no,9.5,9,8.5,9.5,0.15,Ebay
280,2022-05-10 14.28.37.jpg,swsh8-202,Chansey,Common,0.04,no,9,8,9,9,0.04,Ebay
281,2022-05-10 14.28.43.jpg,swsh8-28,Vulpix,Common,0.04,no,8.5,9,9,8.5,0.04,Ebay
282,2022-05-10 14.28.49.jpg,swsh8-60,Qwilfish,Common,0.04,no,9,8,9,8.5,0.04,Ebay
283,2022-05-10 14.28.56.jpg,swsh8-117,Galarian Corsola,Common,0.05,no,8.5,9,9,8,0.05,Ebay
284,2022-05-10 14.29.05.jpg,swsh8-144,Baltoy,Common,0.04,no,8,8,8.5,9,0.04,Ebay
285,2022-05-10 14.29.12.jpg,swsh8-75,Clawitzer,Uncommon,0.06,no,9,9,9.5,9,0.06,Ebay
286,2022-05-10 14.29.19.jpg,swsh8-196,Sliggoo,Uncommon,0.05,no,9,9,8.5,9,0.05,Ebay
287,2022-05-10 14.29.26.jpg,swsh8-231,Crossceiver,Uncommon,0.05,no,9,8.5,8,9,0.05,Ebay
289,2022-05-10 14.29.38.jpg,swsh8-193,Latias,Rare,0.16,no,9.5,9,9,9,0.16,Ebay
290,2022-05-10 14.29.45.jpg,swsh8-71,Galarian Darumaka,Common,0.04,reverse.holo,9,8,8,9,0.04,Ebay
291,2022-05-10 14.29.52.jpg,swsh8-89,Plusle,Common,0.04,no,9,9.5,8.5,9,0.04,Ebay
292,2022-05-10 14.29.59.jpg,swsh8-125,Sandygast,Common,0.05,no,9,9,9,9.5,0.05,Ebay
293,2022-05-10 14.30.06.jpg,swsh8-71,Galarian Darumaka,Common,0.04,no,8,8.5,8,8,0.04,Ebay
294,2022-05-10 14.30.13.jpg,swsh8-150,Stufful,Common,0.04,no,8,9.5,9.5,8.5,0.04,Ebay
295,2022-05-10 14.30.20.jpg,swsh8-47,Sizzlipede,Common,0.04,no,8,9.5,9.5,9.5,0.04,Ebay
296,2022-05-10 14.30.27.jpg,swsh8-216,Hawlucha,Uncommon,0.06,no,9,9,8.5,8.5,0.06,Ebay
297,2022-05-10 14.30.33.jpg,swsh8-232,Dancer,Uncommon,0.04,no,9,9.5,9,9.5,0.04,Ebay
299,2022-05-10 14.30.48.jpg,swsh8-15,Virizion,Rare,0.15,no,9.5,9,8.5,9,0.15,Ebay
